,review,sentiment
0,Literally impossible to log in You can only log in via Magic Links in which you must have access to the email on the same device I can not access my work email on an external device for security reasons and verifying my email on another device will still not allow my mobile device to sign in In response to developer comment: No there is no option to log in with email/password Clicking log in manually ONLY provides a field for Workspace URL which always fails and says not valid,1
1,Notifications are utterly terrible especially if youre ever using the app on more than one platform I understand that theyre trying to monitize but the history limit makes the usability of this for anything important a joke Speaking of money considering that you can get Teams for free what they want for paid accounts is ridiculous The app on most platforms has massive overhead and barely works how do you not have gif integration but you can completely redo the graphics every 3 months,1
2,Unable to login using Google SSO Have reset app cache data cache reinstalled restarted Logo just freezes while trying to auth An app force quit and restart produces a forever bouncing slack logo on the next attempt,1
3,Constantly freezes and stops Wont let you type messages Keeps sending self to home screen Wont let you update status  you can push the button 50 times with no result Desktop app is fine Mobile simply nonfunctional,1
4,Setting status to active seems to have no effect in mobile app status and perhaps others also do not see me as active as a result Changing status to active in desktop edition does not propagate to mobile app,2
5,If the app was working correctly it would be a success because I just love all the features it offers but my desktop version keeps freezing and not working Hopefully they can fix and improve the app because it is worth it,3
6,It was working well and then it stopped Now I cant see the same channels on my phone that are on my laptop and this is after I uninstalled and then reinstalled it,2
7,If you are removed from a server then try to access it the app will always display invalid authentication You cannot go back to any other servers youre in Closing the app will not reset this,1
8,good app things nice easy to navigate and stuff i only think negitively of this app because my team ended up short staffed and many members quit on short notice so we couldnt find anyone to fill in their place and the animators had to rush to complete their assigned pieces so the film we were making got canceledplease plan ahead you will thank yourselves later get staff who will both manage the group but also serve as back ups incase a member quits PLEASE ITS HELLoverworked animator,4
9,We have been using an archaic listserv app and it is getting quite noisy This is a refreshing change,3
10,Ever since the latest Android update I am unable to post anything in slack It allows me to write what I want to post but when I try to post it it does nothing Im highly frustrated,1
11,I cant log in After entering my login info it takes me back to the main screen which asks me sign in manually again Please fix,1
12,Returning to the app from the launcher icon starts it from scratch It should simply resume it as any app does same how it resumes from Recents menu Pixel 5 android 12,1
13,Buggy Cant support images well Support taking forever to fix the issue,4
14,Not suitable for Android users I cant even log in to Slack using this mobile app and have been trying for the past three months now to no avail Every time I try to log in I get taken to my phone settings with no instructional messages or prompts So I have no idea what Im supposed to be doing in my settings to get it to work Please do better If we sign in via desktop the mobile process should be seamlessbut it isntterrible,1
15,I have a real problem getting alerts on my phone with this app The alerts are on but sometimes I get them anywhere from a few hours late to a few days late then the alert doesnt always clear after viewing so it looks like I have alerts that I dont have This is problematic because I use this for work and its the primary way my work contacts me as we are decentralized Please help,3
16,I was very leery of Slack in the beginning and now I love it and its reputation The sheer simplicity of how they make integration of all their apps To install or Uninstall I do wish it had a little more for user preference settings Thats just because sight and lighting can just be picky Only reason Soothing color combos seem to help But sometimes you just have to turn up the music and hope your dime get a headache from the fun,4
17,This app is little more than a read/reply version of the desktop version There are no options for customization sorting deleting channels/threads etc Unread channels conveniently move to the top of the stack so you need to scroll all over the place to find a channel If I didnt need to stay connected to work conversations if delete immediately,3
18,This app has a good bit of features that are nice Like theme personalization and having a personal thread for quick notes It also syncs settings instantly between devices However its a battery hog when open and in the background Huddles are nearly useless on my Duo When I open a thread the prompt to join a huddle often crashes the whole app And when someone stops a screen share in a huddle it crashes Contacted support  Im not hopeful despite them being very kind,3
19,I feel like Android app recent update made organization of channels worse Just one flat group of everything  where are the custom sections and ways to organize In an enterprise with hundreds of channels its useless and almost impossible to find the channels I need to monitor,1
20,A mess Interface is not user friendly  everything is really confusing to get a handle of  and its so *buggy*  sign in not working  screens flashing  buttons not working  etc  to bosses and teachers everywhere: for the love of the people in your group  DONT USE THIS  just make a discord server or something  same thing but less buggy and A LOT easier to use  trust me  your group will thank you ,1
21,Galaxy S21 / Android 12  As others have reviewed the push notifications are essentially worthless Most often the push notifications are never delivered In those rare cases they are delivered its usually hours after the post to the Slack channel Email notifications are substantially more reliable but whats the point of having email notifications enabled when push notifications are enabled Until the push notifications are fixed the Slack apps best use is opening it up to send a message Just dont expect to get a reply via push notification ps Slack Robot no I will not send an email to feedback at Slack unless you want to put me on your payroll to help troubleshoot your app,2
22,Hmthis is the second time Im finding my review missing Anyway issue was resolved by using the option to signin manually the email link received worked and was able to sign in with android phone Dont use the other option (sending a magic link to your email) Signin manually with your email reset password and then a magic link will be sent to your email that actually works,1
23,My work uses Slack Im a software developer Slack stinks of bugs and lack of professionalism They change UI and features without concern for existing user productivity deprecate OS and browser versions on a whim etc 1 You can no longer delete zoom call msgs 2 On Android replies to a thread AND channel is now a multi step process 3 On Linux it insists opening its own browser process and reopen all my default tabs with it Etc Not enough room here to list all the faults,1
24,Black screens in every thread Pixel 6 pro and pixel 5 We just got stuck with this BS COVID19 hit and this was our best option Obviously the app was popular with devs because you can do cool things like alert you when a sale has been made and the documentation was great The pitfalls of slack are going to be the pitfalls of our society The app is mediocre regardless,2
25,This app has a lot of potential however its inconsistent and therefore problematic For example the status update sometimes fails to save despite user feedback that it does Often its also not possible to access and respond to messages that are in thread,2
26,The fact that I am forced to download the desktop version in order to make changes to the mobile version is absolutely ridiculous My notification setting is always changing itself to pause for seemingly no reason at all I constantly have to change it back to giving me notifications,1
27,Why you changed the left sidebar (list of channels and conversations) BG colors on mobile app Im having very different expirience on mobile than on desktop now hard to immediately understand what is going on if Im constantly switching between mobile and desktop slack apps This is very strange move It is not fixable by enabling the dark mode as I want to have the same set of colors on mobile app as on desktop app for the same app areas as on desktop while not in dark mode,2
28,Just received a link to join app for work purposes Its terrible I cant even sign up It gives me an error message with all/any email I use I cant even sign up with the workspace URL,1
29,Great way to communicate just last week our email was down from 8 am to 2 pm on a Wednesday during peek work hours We have been using slack as an alternative way of communicating This platform enables people to interact with out the normal online distractions of other aops,5
30,They destroyed the interface with this last update I have no desire to use the mobile app anymore it is no longer convient Bring back the old UI Edit: Still liked the old interface better but gotten used to the new one Still get the occasional bug but overall fine,2
31,UPDATE: very strange that i cannot edit my own review in here but i solved my issue After i made the Google account Default (the one i need to use to sign into Slack workspace) i logged out from all the workspaces deleted the cache reinstalled the app and it works now I was able to login into the workspace that i need to use I dont know if its a Google thing or Slack but this needs to be solved I shouldnt need to go through Security Settings in order just to login into a Slack,2
32,The app works well in tablet mode on a chromebook However there are issues when trying to navigate the map when in computer mode on my chromebook,3
33,Mostly great but I would like to request a widget for viewing dms and posts tagged in Sometimes with a big company it is easy to lose things or not catch it This would be a big help Thanks,4
34,Love Slack  generally speaking it gets 4 stars But this 2 star review is for whatever change they made to the app since I last updated umpteen months ago: I lost the ability to make channel shortcuts on my homescreen HUGE THUMBS DOWN,2
35,Cant remove or sign out of workspaces Dont use the mobile app If you have to use slack stick with a browser This is a bug theyve known about for a long time and will likely never fix,1
36,The copy link doesnt actually copy the link Most of the stuff people share on slack I want to either open on a different device or in Incognito so I need to be able to copy it from my Android Now I have to do copy text and delete whatever their commentary was on the link I wish that slack updates didnt break the app so often and I wish theyd fix it faster when things like this do happen Due to the amount of bugs they should really streamline reporting them too,2
37,Is there even development done on mobile app for slack Videos never get played when uploading a video from phone it take insane amount of time Same video on Google drive in few seconds Whats the point of having an attachment option if we just have to share Google drive like ,1
38,Mobile notifications are garbage and have been for the past 3 years Sigh Cant find a reliable way to get notifications on my samsung phone/watch,1
39,Its ok I suppose I only use it because my employer doesnt seem to realize we really dont need another message app especially one thats not even end to end encrypted,3
40,Really well done mobile version of the desktop application Simple clean easytouse as the desktop version is,5
41,It needs to break down how channels can be minimal even being used through company work its very confusing for me and I have ADHD I get really confused because its so scattered Im still learning its new for me,2
42,Still unable to change profile picture with new update which is the only reason I got the mobile app Unsure why it was taken off,2
43,Fun secure chat used twice now for different jobs I love the emojis I have not figured out how to add custom ones but I see customs in there a lot,4
44,App constantly crashes when being in a huddle with Bluetooth headphones Maybe fix this,1
45,No option for unread messages making the app just garbage the most important question is WHY If this option available on desktop,1
46,The doggie daycare sent me the app to see pics and stay in touch about my puppy while shes there I like it Thanks,4
47,An awful glitchy frustrating experience I wish every conceivable misfortune befalls its developers,1
48,Log in problems no customer support terrible interface huge disappointment,1
49,why cant i use mark up on mobile you think its easier to use the smart formatting menu on mobile Have you tried using any mark up on mobile at all you broke triple quotes () do you guys use slack yourselves or does some 23 year old designer call all the shots with no testing,1
50,Cannot change time zone even though theres a setting listed that would seem to allow this On mobile sometimes has problems marking channels as read even after closing app opening channel scrolling to end and up and reopening channels panel No edit history on shared editable text snippets,2
51,Please use the update descriptions for actual information Edit: yes I mean the release notes What does this mean: What’s New • No news is good news Well some news can also be good news or no news could perhaps lead to uncertainty and speculation on par with bad news but in this case our absence of news is a good thing Or at least not a bad thing No news is just fine Carry on,3
52,Its okay However I frequently have new messages notifications but these messages do not show up in the app The app will highlight the channels with unread messages but visiting these channels only shows the old messages Nothing helps to solve the issue: killing the app restarting the phone clearing the cache The only way is to either go to the desktop app or wait for another message to be sent in that channel and hope that it will solve the issue This is very frustrating,3
53,This app has caused me so much work stress Issues: No phone call notifications on Googles WearOS smart watch * when you get a call and pick it up on desktop it is marked as missed on your phone and leaves a ghost window * the connection quality is so bad compared to dedicated phone calls voice drops in and out comes through laggy * background noise is terrible over voice Definitely worse than a standard work call So bad that people cant understand others and complain about he noise * sometimes calls dont wake my phone at all yet a regular phone call can all the time * the app is slow and bloated feeling just like the desktop version (which is really pretty good tbh) Sure I cant blame this all on slack it is in some ways a hardware and OS issue But theyve set the expectation and they should still know the pain Feature requests: * record calls client side (for privacy) automatically so I can play then back (autodelete after N time unless otherwise specified by the user) ** automatically record calls I was invited to but was not able to answer persons currently in the call should know that such a feature is enabled however * phone call notifications on WearOS * Show your online status of any desktop instance from your phone,1
54,Ill change this after they either get back to me or fix this Android  my new message notifications wont go away as if I havent seen them and I can no longer view older messages from those same people I also go on a channel and itll say 10+ new messages and theyre not new Ive seen them but the notification keeps sending me way up the channel for no reason No updates to fix these bugs,1
55,Ive never had any issues with this app I use it just for messaging my boss nothing else I cant speak to the other features it has but sending pictures/messages/emojis seems to work just fine Occasionally there is a glitch but I think youll be hardpressed to find an app that doesnt glitch every now and again Good concept good app I especially like the search messages feature which has saved me a few times when trying to look back and find an address or something,4
56,Startup on demand needed I dont want to be on call 24/7 and I dont want this app to run all day long and only when I need it to I want the ability to sign on to the app without individually connecting to channels I use,3
57,So close This is a great platform for communication but the mobile notifications are appalling They are either nonexistent or are sent after a long period of time This has been brought up by others for a while now and hasnt been delt with It does me and Im sure others no good at all if we cant communicate in a timely fashion With the competition of other similar platforms being so fierce you folks REALLY need to put on your boots and deal with this Fix this and its 5 stars,2
58,This app has gotten worse over the past few weeks It used to be pretty smooth Now the screen jumps around constantly It notifies way too much every pic upload interrupts what you are doing with a big ugly popup This is not needed It makes the screen jump and pulls you off of text or what you have moved on to The way it saves and uploads pics is so out dated 1 pic a time I have to use my own camera app and transfer yhem over in groups It is a very sloppy app HAVE TO USE FOR WORK,1
59,Very useful communication device with awesome additional features and control of notifications Excellent for business use Lately the experience has become inconsistent 1 The app will erase my draft/message Im typing if I rotate my screen or put the app in the background 2 The app will remove the attachment before I send it when I begin typing a message to go with it Happy to help if the developer wants to work together to gather examples,4
60,I use Slack daily for school and Ive loved it for over a year now But lately (in the last week or two) I will open the app and instantly get signed out of a workspace with the error Invalid Authentication I have to sign back in and then it will happen again in another 5 or 10 mins Its becoming unusable at this point,1
61,Im so irritated I have sections created to make it easy to find my channels for certain things They are pointless 2 of my sections are duplicated in a long list (but they are not shown together) So seemingly random channels are in one of two different sections that have the same section name This is not so on desktop  just mobile,2
62,All of a sudden Ive been kicked out of the app for invalid authentification 5 times in the last 15 mins or so Could barely finish typing out a message Have had the app for at least 2 years now and never had a problem before now Hoping this will be resolved soon because it is also affecting my notifications today,1
63,When this app stops functioning properly (thankfully not too often) I realized how much I depend on it for communicating with my coworkers While theres always room for improvement this is by far the best messaging app out there Ive used Discord G Chat and Teams but none of them compare,2
64,This app is great in concept I have lots of issues with not getting notifications or getting them inconsistently however this is something I have worked past the current issue is since the most recent update I continue to get logged out randomly while on the app with a invalid authentication error message this is absolutely frustrating while Im responding to urgent work concerns,2
65,IT IS COMPLETELY UNUSABLE NOW A) Keyboard keeps closing or triggering different UI reactions after a second so its almost impossible to type anything of value B) Any context switch or another UI pops up you lose all your text in the current input box You have to go to the draft window to find them What was Salesforces point for purchasing Slack then killing it with poor enhancements Roll back all your changes The system was working better before Salesforce,1
66,Used to be great but crashes frequently now and needs to be restarted constantly (latest version of app and Android) Uploads fail notifications are spotty at best and generally more frustrating to use overall This is all on dedicated wifi so definitely the app thats the problem Slack started out great but are slacking in their success  will be happy to change this to 5 star if bugs are addressed,2
67,Its Slack This should be a 5 star app Know why it isnt You cannot SELECT AND COPY TEXT in messages WHYYYYYYYYYYYYYYYYYYYYYYYYYYYY Edit  thanks for the reply I know I can copy the entire message This is frustratingly useless when you want to copy a word or phrase or number from a blob of text Like when you are in the midst of a production/ops problem and are collaborating with other fix agents on a critical issue Guys Please this is really inexcusable,1
68,App is quite detailed have to put your mind to work when using not real easy to setup the business aspect is well informative however model structure is some what confusioning Good app for a the leaning of a bussiness account to control every direction in which your core people are well informed also keeps management on the progress of the project and each task that is performed,3
69,Utterly terrible app for 2 critical reasons 1) Single sign on you have multiple accounts to manage for each group dealing with that across devices is very painful 2) notifications fail regularly I waste many hours debugging slack notifications and the issue had persisted across devices,1
70,The app will not let me sign in It keeps telling me that I have a wrong email address or password but when I sign in on my browser using the exact same email and password it works just fine This has been incredibly inconvenient,2
71,My Slack stopped working after update on 9/22/21 Android 711 So sad Cant even open messages I need it at my federal job so I can leave my desktop Was hoping I could see through my phones web browser but nope Now I have to rush shop a new phone Slack support staff was very quick  polite with my emails I think Slack should poll their members to ask what phones they use before pulling the plug My phone is only about 4 years old and works fine for most popular apps,1
72,App keeps booting me from calls on my Pixel 6 There would be times where I managed to stay on the call for about a minute then I would get booted For most of the time it boots from the call almost instantly This doesnt happen on the desktop client,1
73,Sitting here with wifi and the app has completely crapped out on me and now I cant get back in to any chat that I was part of It just says slack is offline and try again later Done this for 2 days now and cant do my job without it,1
74,Pretty subpar experience compared to desktop I have to manually clear the cache multiple times a day to see new messages and lately Ive been getting logged out randomly when Im typing a message due to invalid authentication,3
75,I have recently been facing too many issues with slack Messages do not pop up And the most recent issue is that slack is not connecting to my mobile network due to which it shows me as offline and i am unable to send or receive messages over slack,2
76,It used to save drafts of messages if you navigate away for a second and now it clears out the entire message not only when navigating away but also if you pull down a notification Please fix,3
77,Cant setup on Pixel 6 When I choose to email a magic link and select my rooms to join and click next on my phone it just crashes EDIT: Ended up having to sign in separately and not use the magic links Once I got beyond that the app works properly again The magic link portion doesnt work though at least on the Pixel 6,1
78,Worked great until today Samsung Note 10+ Android 11 Unable to send messages Can receive Reinstalled App unable to log in to usual workspace Unable to send email to log in Unable to use app to report issue Edit: back to normal after major outage,1
79,It was nice to have a seperate place to chat specifically with my publisher and fellow authors while working on our fiction anthology The app lets you categorize separate subjects for your group to talk about This is perfect for group projects with multitiered aspects,5
80,It used to drop calls around 12 times per use Now I cant take myself of Do Not Disturb which has made the app entirely unusable This is happening on my older model Android and also on my friends new iPhone Negative stars,1
81,Excellent way to communicate particularly for campaigns Happy to have had it on many campaigns in the last five years Gives organizers and team leads a private channel to communicate while coordinating simultaneous events trainings etc,5
82,Doesnt work properly I never get notifications can not view pinned messages (I was added to slack by a company I just started working for) and it constantly logs me out which contributes to missed notifications,1
83,Just recently switched to a Pixel 6 and I cant connect videos or audio calls Ive seen some people complaining about it as well so I expected that to happen Everything else works great though,3
84,Accidentally signed out of one slack (because its too easy to do on mobile) Couldnt log back into that slack because it would not take sms and ate a backup code Now the app wont open at all and just goes to the app download website instead,1
85,I use this only for staying in contact with Amazon management This app keeps logging me out on my phone and I have to reconnect at work on a work computer VERY INCONVENIENT when trying to message work before coming in,1
86,App worked fine for months now cant view messages or reply or post Have to completely wipe cashe and data and re sign in to work for only a few hours then it screws up again,2
87,Really useful Makes me suspicious I still use it every damned day though and YOU should too unless youre one of those blokes with 17000 actionable emails in your inbox You know who you are,4
88,Hangs most of the time and takes a lot of time for loading Calling is a disaster stopped using slack for calling lately stated to call using a different medium and use slack for scree share Screen sharing is good,2
89,Want to revert back to preupdate Well you all REALLY screwed it up with that update Was pretty good app but now cant have list of channels on side to switch back and forth to Who the hells brilliant idea was that IDIOT Please fix it back dumba**es No option to change it,1
90,This sucks Difficult to sign in navigate and not user friendly Were better of using email and text Whats the point of Slack Its just another messaging app and an incredible waste of time,1
91,What is the point of a communication app when it doesnt notify you of new messages I do like the layout of it,4
92,Horrible UX Impossible to send pictures and always fails to load them Finding and creating chats is so difficult Why not make it like any other IM app and stop hiding all the different chats you have going on,1
93,Currently app repeatedly logs me out with invalid authentication every time I use it Im able to get maybe 3 messages before the error occurs Until fixed browser is necessary,1
94,Its functional but the lack of options to organize the sidebar makes it hard to use Also occasionally not getting notifications I would expect,3
95,My biggest issue is the difference between desktop and mobile  You can see the react emojis However you cant see who reacted to your comment unless youre on the desktop version,3
96,Unbelievablely dumb decision to have gif search be random and you have to shuffle it Garbage Wouldnt work when on VPN without telling the user why had to switch VPN location in order to use it,1
97,Awful Cannot have a conversation with anyone because the app constantly loses connection Just continually says lost connection reconnecting,1
98,I do not like the drafts feature It is trash and needs to go Save 1 draft only and do it in the buffer you type into,1
99,Started using this with my extended family We love that there are different channels so that different conversations can be in different places,5
100,Everyone in here that has a pixel 6 is having the same issue You are completely unable to use the calls functionality Ive reached out to the email address but do you have any kind of work around or,1
101,App keeps logging me out and jittering and the new ui sucks compared the old one They should just distribute the apk from 2020 and stop wasting their time with pointless and ugly updates,1
102,This is hands down the worst chat tool Ive ever used Slack is a great name for it though cause it never works it just slacks off and decides its not responding Absolutely garbage software Aim was prehistoric and bad to use but it actually let me send messages How is it that 25 years later slack cant even send a message without freezing and crashing This is embarrassing,1
103,The app doesnt notify me about new messages I only get to see them once Im emailed about it but thats about 3 days later,2
104,Times me out constantly I have to log into my work computer to access on my phone at least every 15 minutes Ridiculous,1
105,Easy to understand and use I love the feature of also being able to use Zoom within the app itself,5
106,been such a great app to communicate with to my teachers helps me a lot especially that i am homeschooling :>,5
107,This app was working great but since today I was getting absolutely no messages and no I reinstalled slack and now I cant back in,1
108,It will not continue to run on an Android you have to reconfigure every time you want to use it,1
109,Great but still not quite FB messenger Yet the thread feature is almost a Messenger killer Plus my FB hating friends will use it,4
110,An annoyance I am forced to live with now and absolutely irritating to update the app on a desktop Extremely annoying and not user friendly,1
111,Any resemblance to one nonstatic static nonliving and or living is coincidental Discernment and discretion may be advised,1
112,This app never updates my messages for urgent matters And when I go to close a conversation it just stays in limbo amd wont go away,1
113,Slack has gone from the best app Ive ever used to the WORST app Ive ever used Sadly after 6 years we have to retire using it and use something that is like basically simply WORKING We cannot even freaking TYPE anymore without Slack closing Horrific please REVERT BACK to 2016 and FIRE THE NEW DEVELOPERS,1
114,Love this app takes a lot of cpu though this gifs keep us going during the day but sometimes also freezes system up,4
115,I cannot change my profile picture for the life of me once this issue is fixed I will update my stars,3
116,Its a mobile version of the chat software the have Its great for keeping in contact with the office,5
117,Overall the app works better than the desktop version Slack is great and makes company communications easy :),5
118,It was nice until it logged me out for some authorization error and erased all my saved workspaces for no reason,2
119,Not a great app Hard to use and very slow sometimes Discord is a far better choice,2
120,As an employee of a company who uses slack for internal communication this app is convenient when Im away from my desktop computer I had a little trouble setting it up on my new phone (with no setup issues on my old phone) but found out it was because selecting my email from auto complete added a space and the space after the email prevented me from being able to select next and continue setup Issue now resolved,4
121,My Apple friends dont have issues but those of us with Androids at work have big issues New messages dont pop up  I have to search for the channel and see the new messages The channel itself disappears from the list I work at a school and we only use slack Fearful i might miss an emergency with a student bc of these issues I really hope they fix them Looking forward to a good update,1
122,I give this 4/5 stars since I think this is a good app The 1 star comes from the strange login method You have to enter the workspace url then your email Its a troublesome thing to remember especially if your place names it something strange with various numbers (like mine) I end up doing the secondary log in method every time (which kind of is also a pain since I then have to check my email for the code),4
123,If you try to use the browser in the phone the came with an excuse that they having problem to log you This is to make you download the app Update: They told me they dont support mobile browser Again The correct answer would have been: We restrict browser on mobile devices,1
