,processed_review,0_Service/App related Issues,1_Payment Issues,2_Driver/Ride Issues
0,Absolutely terrible experience ordering dinner for the family Placed an order for pizza  wings  the Uber App said that driver (name not disclosed) would pick up  deliver it It gave me the update that they were waiting for it Then 40 minutes later when they should have taken it the app says a new driver is responsible for my meal order for I called the guy  he said that the other guy had already picked up the order No delivery 10 min later I get left in the dust  no recourse,0.31252294708600525,0.010220368771993733,0.6772566841420011
1,Unreliable Drivers cancel constantly and half the time theyre 20 minutes away despite the supposed 3 minutes away For the prices you pay youd think theyd be better Been late to work due to last minute (literally) cancelations Today a driver canceled the trip when she arrived AT my house How does that make sense Shouldve been on time Now Im in a new uber texting my manager an explanation as to how in the world I left the house early to still arrive late Thanks Uber,0.00852569143364737,0.5998044511974266,0.39166985736892596
2,Not woth it The price keeps rising The trip prices are inconsistent A trip that would usually cost me $20 just rose to $72 out of nowhere This isnt the first time its happened Fix this issue 12/12/21 Now it just sticks with the higher price no matter how long I wait 12/20/21 Now they drastically increased the uber rewards cost Now I have pay more points to get a discount The price of rides also increased permanently 2/23/22 price for a $20 trip is now $25 no matter the wait or reward,0.0076794826344999765,0.6005266075470668,0.39179390981843315
3,This app is absolutely ATROCIOUS The amount of headaches Ive gained and money Ive lost in just a couple of months while trying to buy a car is stunning They claim you can cancel your ride but they do a good job hiding the feature in hopes that you wont figure it out in time and they can take your money Everything about the app is so counter intuitive Its as if their primary goal is frustrating their customers I am so pissed that I have given these people money I hope they go bankrupt,0.7173162216044358,0.2707624527683287,0.011921325627235614
4,This is an extremely expensive service app with freeapplevel customer service I actually dont mind the fees but the service is completely unacceptable for the rates charged for things like service It doesnt cost $5 to run a computer system for customer service on every order Like I said Ill pay your fees but I will not accept a total lack of customer service with a premium app,0.010655154232134052,0.25618515926346985,0.733159686504396
5,Wouldnt recommend it to anyone unless they are REALLY desperate This is because: 1 The navigator takes the drivers to the back of the destinations which are sometimes very dangerous alleys 2 If I direct the driver to the correct street the app wont allow them to log their trip to complete it 3 It never takes me straight home but asks the driver to drive by only to make them make a uturn back to the spot they drove by 4 A none smoking driver option should be added for health reaso,0.4698753707025158,0.5189261046697483,0.01119852462773595
6,Seriously uber has became unreliable So unreliable I bought my own car Literally ridiculous now No one should be 50 minutes late when they schedule a half hour before arriving Half the drivers dont even move from their spot and wont message back Some drive to OTHER locations Some cancel Halfway there I mean really lets get it together PLEASE,0.5476220920480235,0.43966165259097617,0.012716255361000248
7,Find another alternative to UBER Their service is horrible and totally dependent on a very limited app to try to resolve any issues Impossible to actually connect with a representative from the company Have been over charged and incorrectly charged for cancellation fees when the cancellation was not my fault Instead of refunding the incorrect charge it is still there even though the app says it was refunded Its always a gamble as to what type of driver you will get Some have been nice professional Many have been totally rude Uber also does very little to insure rider safety regarding CDC and county practices regarding COVID,0.009371533254236996,0.9818206744538192,0.008807792291943891
8,This has been a problem way more than once now in the morning is schedule my uber for 7:40 My drivers have been early multiple times and Im not talking like u know 3 or even 5 minutes early its like 1520 minutes early And then Im rushing around the house to finish getting ready I cant make them wait either because uber can charge me for having them wait So I tried scheduling it maybe 7:45 7:50 ish but when i do that the drivers get there late and I get to work late,0.009360814062771675,0.5565154492998291,0.4341237366373992
9,Works well enough but for those of us who pay an extra $16 to reserve a ride (a ridiculous amount when what were actually doing is guaranteeing a driver a fare) it would sure be nice to have a notification that a driver had accepted the ride and have that notification show up when we look at our upcoming trips Imagine waiting at 5am hoping but not knowing if someone is actually going to pick you up for your trip to the airport,0.2670483025496752,0.03062860503217508,0.7023230924181497
10,Paid for priority and the food delivery was still very late It would have been more effective of my time if I went with my own car In addition the user rating system is broken because if I dont like the service/driver and choose not to tip the driver or person delivering can give you a lower rating,0.4446334313649536,0.3629330461491372,0.19243352248590925
11,Its great when they arent jacking the prices up The thing is I shouldnt be paying 10 dollars to get to work and 20 dollars to get home or vice versa I grasp that there areemberships etc but really there is that much of a difference Meanwhile Lyft has my fare for the standard 10 dollars and its not inconsistent and a pain in the neck to get a ride to work Ridiculous Ive been using Uber for a year now and its slowly gone downhill Deleting this garbage app,0.6999034885649148,0.012676371474442344,0.287420139960643
12,For my last couple trips I scheduled my ride ahead of time The app chooses the correct pickup spot while scheduling the ride but the next day when my ride is confirmed and the driver is on their way the pickup spot is changed by the app I dont know why this keeps happening but its annoying Please fix it,0.014407082574519586,0.239718440898375,0.7458744765271055
13,If I could give this zero Stars I would 10 out of 10 DO NOT recommend I tried scheduling for a ride and had to give my payment information they charged me $63 and some cents for a ride to the airport however I never received a ride Tried scheduling it and was given notification that there was no rides available in my area However Uber still charged my account for the ride Theres no way to contact customer service to resolve the issue Uber just stole my money,0.010074557720165175,0.009754045241112048,0.9801713970387227
14,App is impossible to sign in or sign up Will not retrieve or recognize my phone number email address or answer questions No live help available only automated runaround Over an hour spent trying to get into the system to order a ride No progress Switched to Lyft,0.4191181877429864,0.014702370038063852,0.5661794422189497
15,Wow this app is a MASSIVE drain on my Galaxy s9 battery My 2nd ever time using Uber wasnt good Im not sure who was at fault but I requested one outside the casino and it kept saying the driver was 4 minutes awayfor 30 minutes We were out in the cold at night and you could see them just sitting there Not sure if it was the app or driver but I was so worried my phone went from 47% to 15% while waiting Luckily I could send a message to let her know my phone was dying,0.7314609012686053,0.2592735210862275,0.009265577645167214
16,Unable to add or update my card information I know everything I put in is correct and I was unable to find a number for customer support on the issue The website was not helpful and the options did not apply to me either I tired Uninstalling the app multiple times and clearing cache/data as well with no luck Abandoning for a competitor after this Logged in to Lyft on the first try sorry but definitely lost me as a customer after this,0.8740148858168706,0.012522926612760598,0.11346218757036877
17,Maybe I can reach customer service this way since I got hung up on twice I linked my Bonvoy Account to Uber where Im suppose to get points for uber rides and uber eats Apparently they want to give you points when they want to give you points I have had multiple transactions with uber and uber eats from the 12th16th of Feb I have only 1 transaction with points on the 14th This partnership could be good if Uber actually submitted the information to Marriott Bonvoy,0.011008762160242677,0.010653035797117077,0.9783382020426403
18,horrible first experience I requested a ride 5 hours in advance and wasnt notified until after opening the app after the scheduled time that drivers werent available at the time my ask for email and phone number if youre not going to contact anyone Id much rather pay local cab fairs,0.36814871518058817,0.2917839975234574,0.3400672872959544
19,Here I am trying to get home safely after a few drinks for a work gathering and the app has more errors than a Bethesda game Great way to keep people safe and healthy when someone cant even order a ride Edit: this problem has begun happening more often An unhelpful error message of oops try again later doesnt help when someone is stranded somewhere like a bar or airport trying to get home safely,0.9774681972134893,0.010860110675393945,0.011671692111116762
20,This app sucks This app does not provide an issue typein so I can type in a specific issue I work nights sometimes its hard getting Uber to where I live Where you typein your location It said enter drop off spot I thought all I have to do is press which location of my drop off spot and the Uber will take me to my workplace But it turns out that instead of sending an Uber to my pick up spot the pick up is my work place and drop off is where I want to be pick up Devs fixe this now,0.142673050080632,0.8468894261301262,0.01043752378924182
21,The only upside to this app are nice drivers and it motivates you to BUY YOUR OWN CAR App is terrible and unreliable constantly gets the pick up address wrong a destination 10 minutes away by car takes DANG near an hour just to get to because of lack of drivers long wait times drivers cancelling and completing other trips on their way to your destination and being rerouted constantly AND its costly Dont trust those fare estimates Use cab dispatchers or public transport if you can,0.21541885600031152,0.7756442042993327,0.008936939700355697
22,Zero star app Works great for a bit Then it forgets your password when I try to reset password to my usual I get told I cant reset to a password I already used So it knows my password is correct it just wont let me use it It will not send verification codes to my phone so I cant do that and to top it off i cant even order with postmates because Uber bought them and bricked that website as well Uber is a scam and Im using lyft and doordash put of spite of this garbage service,0.981740755875471,0.009073980685443926,0.009185263439085047
23,Drivers constantly cancel on you leaving you to be late for whatever youre doing and you still get charged Drivers dont know how to read maps or navigate streets dispite being their professional source of income Drivers make up more expensive route to get paid more (dont get caught up in conversations they will distract you),0.01678660987840262,0.9687362067764239,0.014477183345173554
24,Customer service was not the best to say the least All I needed was to delete a card from my wallet and I couldnt do it from the app or from my laptop and was given a sorry something went wrong message When I asked for help through the chat No one could find a way to just delete the card and be done with it,0.9635981770767859,0.018612906307902785,0.017788916615311515
25,This service is so stupid I have to go 16 minutes because the USPS cant deliver a package apparently and the package is a part for my car I needed a ride from uber to and from the post office to get my car running This service tried charging me 4279 one way Wouldve been over 80 bucks for a half hour Absolute trash,0.014307112489451091,0.014214866985977391,0.9714780205245716
26,They spam your email with promo codes that dont work when you actually go to use them in the app Reached out to customer service and they just copy and pasted their FAQ which was entirely unhelpful Seems like blatant false advertising to me so Ill be using the competitor from now on,0.019269140106819096,0.01614022679467635,0.9645906330985046
27,The problem with Uber is if youre even a little bit inconvenient for a driver they will cancel your trip and youll have to find another one By the time three drivers cancel on you youll have been waiting for 30 minutes or more Im tired of not being able to count on Uber,0.43779601298818366,0.5460892579472824,0.01611472906453396
28,I wasnt able to tip my drivers and figured there must be an update I need to do Did the update and now I cant book a trip AT ALL they give me no option to put in my pick up/drop off location Doesnt matter if I press the back up down profile etc buttons I CANNOT BOOK A TRIP I just see the map of the damn world,0.16629461740640097,0.8204460492826631,0.013259333310936039
29,Used it only 3 times twice for rides and once for Uber eats My Uber eats never arrived but I was charged was not contacted by the driver or the app about the delivery or any complications The same thing happened on my first ride however for that I tried contacting the driver and got no response,0.018282784942696285,0.19141677123439593,0.7903004438229078
30,When it comes to adding a tip viewing the receipt and the actual charge Ubers app lacks transparency Be careful not to turn a 20% tip into a 40% tip Once a user tells Uber to add a tip the receipt should update and the add a tip link should disappear The driver was great the app is not,0.9706063024379064,0.01627836232636886,0.013115335235724812
31,My app constantly loads incorrectly with missing buttons and options I have tried both WiFi and mobile data neither load correctly after updating and uninstalling and reinstalling over and over again Extremely frustrating experience when counting on this app for transportation,0.8541407112147791,0.12780635763263204,0.018052931152588974
