,review,sentiment
0,Absolutely terrible experience ordering dinner for the family Placed an order for pizza  wings  the Uber App said that driver (name not disclosed) would pick up  deliver it It gave me the update that they were waiting for it Then 40 minutes later when they should have taken it the app says a new driver is responsible for my meal order for I called the guy  he said that the other guy had already picked up the order No delivery 10 min later I get left in the dust  no recourse,1
1,Unreliable Drivers cancel constantly and half the time theyre 20 minutes away despite the supposed 3 minutes away For the prices you pay youd think theyd be better Been late to work due to last minute (literally) cancelations Today a driver canceled the trip when she arrived AT my house How does that make sense Shouldve been on time Now Im in a new uber texting my manager an explanation as to how in the world I left the house early to still arrive late Thanks Uber,1
2,Not woth it The price keeps rising The trip prices are inconsistent A trip that would usually cost me $20 just rose to $72 out of nowhere This isnt the first time its happened Fix this issue 12/12/21 Now it just sticks with the higher price no matter how long I wait 12/20/21 Now they drastically increased the uber rewards cost Now I have pay more points to get a discount The price of rides also increased permanently 2/23/22 price for a $20 trip is now $25 no matter the wait or reward,1
3,This app is absolutely ATROCIOUS The amount of headaches Ive gained and money Ive lost in just a couple of months while trying to buy a car is stunning They claim you can cancel your ride but they do a good job hiding the feature in hopes that you wont figure it out in time and they can take your money Everything about the app is so counter intuitive Its as if their primary goal is frustrating their customers I am so pissed that I have given these people money I hope they go bankrupt,1
4,This is an extremely expensive service app with freeapplevel customer service I actually dont mind the fees but the service is completely unacceptable for the rates charged for things like service It doesnt cost $5 to run a computer system for customer service on every order Like I said Ill pay your fees but I will not accept a total lack of customer service with a premium app,1
5,Wouldnt recommend it to anyone unless they are REALLY desperate This is because: 1 The navigator takes the drivers to the back of the destinations which are sometimes very dangerous alleys 2 If I direct the driver to the correct street the app wont allow them to log their trip to complete it 3 It never takes me straight home but asks the driver to drive by only to make them make a uturn back to the spot they drove by 4 A none smoking driver option should be added for health reaso,2
6,Seriously uber has became unreliable So unreliable I bought my own car Literally ridiculous now No one should be 50 minutes late when they schedule a half hour before arriving Half the drivers dont even move from their spot and wont message back Some drive to OTHER locations Some cancel Halfway there I mean really lets get it together PLEASE,1
7,Find another alternative to UBER Their service is horrible and totally dependent on a very limited app to try to resolve any issues Impossible to actually connect with a representative from the company Have been over charged and incorrectly charged for cancellation fees when the cancellation was not my fault Instead of refunding the incorrect charge it is still there even though the app says it was refunded Its always a gamble as to what type of driver you will get Some have been nice professional Many have been totally rude Uber also does very little to insure rider safety regarding CDC and county practices regarding COVID,1
8,This has been a problem way more than once now in the morning is schedule my uber for 7:40 My drivers have been early multiple times and Im not talking like u know 3 or even 5 minutes early its like 1520 minutes early And then Im rushing around the house to finish getting ready I cant make them wait either because uber can charge me for having them wait So I tried scheduling it maybe 7:45 7:50 ish but when i do that the drivers get there late and I get to work late,1
9,Works well enough but for those of us who pay an extra $16 to reserve a ride (a ridiculous amount when what were actually doing is guaranteeing a driver a fare) it would sure be nice to have a notification that a driver had accepted the ride and have that notification show up when we look at our upcoming trips Imagine waiting at 5am hoping but not knowing if someone is actually going to pick you up for your trip to the airport,3
10,Paid for priority and the food delivery was still very late It would have been more effective of my time if I went with my own car In addition the user rating system is broken because if I dont like the service/driver and choose not to tip the driver or person delivering can give you a lower rating,2
11,Its great when they arent jacking the prices up The thing is I shouldnt be paying 10 dollars to get to work and 20 dollars to get home or vice versa I grasp that there areemberships etc but really there is that much of a difference Meanwhile Lyft has my fare for the standard 10 dollars and its not inconsistent and a pain in the neck to get a ride to work Ridiculous Ive been using Uber for a year now and its slowly gone downhill Deleting this garbage app,1
12,For my last couple trips I scheduled my ride ahead of time The app chooses the correct pickup spot while scheduling the ride but the next day when my ride is confirmed and the driver is on their way the pickup spot is changed by the app I dont know why this keeps happening but its annoying Please fix it,3
13,If I could give this zero Stars I would 10 out of 10 DO NOT recommend I tried scheduling for a ride and had to give my payment information they charged me $63 and some cents for a ride to the airport however I never received a ride Tried scheduling it and was given notification that there was no rides available in my area However Uber still charged my account for the ride Theres no way to contact customer service to resolve the issue Uber just stole my money,1
14,App is impossible to sign in or sign up Will not retrieve or recognize my phone number email address or answer questions No live help available only automated runaround Over an hour spent trying to get into the system to order a ride No progress Switched to Lyft,1
15,Wow this app is a MASSIVE drain on my Galaxy s9 battery My 2nd ever time using Uber wasnt good Im not sure who was at fault but I requested one outside the casino and it kept saying the driver was 4 minutes awayfor 30 minutes We were out in the cold at night and you could see them just sitting there Not sure if it was the app or driver but I was so worried my phone went from 47% to 15% while waiting Luckily I could send a message to let her know my phone was dying,1
16,Unable to add or update my card information I know everything I put in is correct and I was unable to find a number for customer support on the issue The website was not helpful and the options did not apply to me either I tired Uninstalling the app multiple times and clearing cache/data as well with no luck Abandoning for a competitor after this Logged in to Lyft on the first try sorry but definitely lost me as a customer after this,1
17,Maybe I can reach customer service this way since I got hung up on twice I linked my Bonvoy Account to Uber where Im suppose to get points for uber rides and uber eats Apparently they want to give you points when they want to give you points I have had multiple transactions with uber and uber eats from the 12th16th of Feb I have only 1 transaction with points on the 14th This partnership could be good if Uber actually submitted the information to Marriott Bonvoy,1
18,horrible first experience I requested a ride 5 hours in advance and wasnt notified until after opening the app after the scheduled time that drivers werent available at the time my ask for email and phone number if youre not going to contact anyone Id much rather pay local cab fairs,1
19,Here I am trying to get home safely after a few drinks for a work gathering and the app has more errors than a Bethesda game Great way to keep people safe and healthy when someone cant even order a ride Edit: this problem has begun happening more often An unhelpful error message of oops try again later doesnt help when someone is stranded somewhere like a bar or airport trying to get home safely,1
20,This app sucks This app does not provide an issue typein so I can type in a specific issue I work nights sometimes its hard getting Uber to where I live Where you typein your location It said enter drop off spot I thought all I have to do is press which location of my drop off spot and the Uber will take me to my workplace But it turns out that instead of sending an Uber to my pick up spot the pick up is my work place and drop off is where I want to be pick up Devs fixe this now,1
21,The only upside to this app are nice drivers and it motivates you to BUY YOUR OWN CAR App is terrible and unreliable constantly gets the pick up address wrong a destination 10 minutes away by car takes DANG near an hour just to get to because of lack of drivers long wait times drivers cancelling and completing other trips on their way to your destination and being rerouted constantly AND its costly Dont trust those fare estimates Use cab dispatchers or public transport if you can,1
22,Zero star app Works great for a bit Then it forgets your password when I try to reset password to my usual I get told I cant reset to a password I already used So it knows my password is correct it just wont let me use it It will not send verification codes to my phone so I cant do that and to top it off i cant even order with postmates because Uber bought them and bricked that website as well Uber is a scam and Im using lyft and doordash put of spite of this garbage service,1
23,Drivers constantly cancel on you leaving you to be late for whatever youre doing and you still get charged Drivers dont know how to read maps or navigate streets dispite being their professional source of income Drivers make up more expensive route to get paid more (dont get caught up in conversations they will distract you),1
24,Customer service was not the best to say the least All I needed was to delete a card from my wallet and I couldnt do it from the app or from my laptop and was given a sorry something went wrong message When I asked for help through the chat No one could find a way to just delete the card and be done with it,1
25,This service is so stupid I have to go 16 minutes because the USPS cant deliver a package apparently and the package is a part for my car I needed a ride from uber to and from the post office to get my car running This service tried charging me 4279 one way Wouldve been over 80 bucks for a half hour Absolute trash,1
26,They spam your email with promo codes that dont work when you actually go to use them in the app Reached out to customer service and they just copy and pasted their FAQ which was entirely unhelpful Seems like blatant false advertising to me so Ill be using the competitor from now on,1
27,The problem with Uber is if youre even a little bit inconvenient for a driver they will cancel your trip and youll have to find another one By the time three drivers cancel on you youll have been waiting for 30 minutes or more Im tired of not being able to count on Uber,2
